FileID,Filename,N K,Nerr K,Nth K,Nbec K,N0 K,N1 K,N2 K,N3 K,N4 K,N5 K,OD K,sx K,sxerr K,sy K,syerr K,s1x K,s1xerr K,s1y K,s1yerr K,s2x K,s2xerr K,s2y K,s2yerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,m1x K,m1xerr K,m1y K,m1yerr K,m2x K,m2xerr K,m2y K,m2yerr K,m3x K,m3xerr K,m3y K,m3yerr K,m4x K,m4xerr K,m4y K,m4yerr K,m5x K,m5xerr K,m5y K,m5yerr K,T K,Terr K,T1 K,T1err K,sigma K,params K,N Rb,Nerr Rb,Nth Rb,Nbec Rb,N0 Rb,N1 Rb,N2 Rb,N3 Rb,N4 Rb,N5 Rb,OD Rb,ODerr Rb,sx Rb,sxerr Rb,sy Rb,syerr Rb,s1x Rb,s1xerr Rb,s1y Rb,s1yerr Rb,s2x Rb,s2xerr Rb,s2y Rb,s2yerr Rb,rx Rb,rxerr Rb,ry Rb,ryerr Rb,mx Rb,mxerr Rb,my Rb,myerr Rb,m1x Rb,m1xerr Rb,m1y Rb,m1yerr Rb,m2x Rb,m2xerr Rb,m2y Rb,m2yerr Rb,m3x Rb,m3xerr Rb,m3y Rb,m3yerr Rb,m4x Rb,m4xerr Rb,m4y Rb,m4yerr Rb,m5x Rb,m5xerr Rb,m5y Rb,m5yerr Rb,T Rb,Terr Rb,T1 Rb,T1err Rb,sigma Rb,params Rb,dynamic [N_Rb/(N_K)] {*},dynamic 2,dynamic 3,dynamic 4,user (fesh) {*},user2 (time) {*},user3,Omit,Remark,masked
0,,9.0840064767191073,0.24499986475079577,,,,,,,,,0.058906008033232107,73.985225070477,1.1648175060749053,93.107635025432884,1.465900832414627,,,,,,,,,,,,,272.92786516040843,0.296336,630.94688810120635,0.372927,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.012521754492226965,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,76.446094022621679,0.30746600076822111,,,,,,,,,0.57224524634327678,0.001308,79.197944094255902,0.18532755449414251,77.984794042036086,0.18249136507511138,,,,,,,,,,,,,825.31872017778448,0.0476383,815.35073002885474,0.0469086,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.017297764158772478,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,8.4154600966590127,,,,2.990000e+01,2.000000e+01,,True,,False
1,,16.637486592708711,0.23241143550347776,,,,,,,,,0.10081803116107992,70.461818463643198,0.57512758970260613,104.61840902730007,0.85392434000968931,,,,,,,,,,,,,276.57555342022528,0.145877,642.52111074083621,0.216591,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.011459184692109305,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,69.144878701511004,0.33980803086483419,,,,,,,,,0.45653888326153019,0.00127185,80.933041852782509,0.23168838173151016,86.518128030177039,0.2476833626627922,,,,,,,,,,,,,824.72878711075884,0.0593335,804.70649093589168,0.063428,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.017909008781622215,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,4.1559690110772722,,,,2.990000e+01,0.000000e+00,,,,False
2,20220111-Rb_K_m_20_11_01-0002,26.029123229027434,0.23842806564637153,,,,,,,,,0.1753560348622337,71.580604536522145,0.38256528973579407,92.630906214605631,0.49507142901420592,,,,,,,,,,,,,274.7042495842673,0.097477,627.70814580296462,0.126143,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.012433819052442278,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,63.214994885106428,0.32352009509598229,,,,,,,,,0.46350207738615407,0.00134756,78.54279308274306,0.2339122489094734,80.281007052978822,0.23909193873405454,,,,,,,,,,,,,826.90748258637404,0.0600923,803.911596733696,0.0614222,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.018006403462339917,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,2.428625594834084,,,,2.990000e+01,5.000000e-01,,,,False
3,20220111-Rb_K_m_20_11_01-0003,16.815715490760052,0.23701158681881548,,,,,,,,,0.11682856593552135,64.738357868997596,0.53218623995780945,99.315510182829215,0.81643122136592861,,,,,,,,,,,,,270.61175979380749,0.135761,629.52624804979985,0.208272,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.012561888728599809,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,62.465349336341113,0.29525218588072533,,,,,,,,,0.48577113780603159,0.00130577,74.989177726345417,0.20615574046969412,79.279263125048217,0.21795185133814809,,,,,,,,,,,,,819.34178192937736,0.0530458,813.81661012577354,0.0560806,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.016942086803829238,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,3.7147006543173706,,,,2.990000e+01,1.000000e+00,,True,,False
4,20220111-Rb_K_m_20_11_01-0004,27.073960334397338,0.35348298325864314,,,,,,,,,0.15311131915632625,77.076954938482473,0.58862158358097072,102.4784134734163,0.78263295888900752,,,,,,,,,,,,,272.78905486711938,0.148802,622.99858743209961,0.197841,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.016798546773214611,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,65.593876612124077,0.37471685919801484,,,,,,,,,0.43181974762951864,0.0013983,81.905177731388903,0.27256328016519543,85.743295826075368,0.28534508049488067,,,,,,,,,,,,,826.31598078023967,0.0697951,801.63390448666371,0.0730657,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.019718546033284635,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,2.4227662226714344,,,,2.990000e+01,1.500000e+00,,,,False
5,20220111-Rb_K_m_20_11_01-0005,25.391933761858866,0.24619426956651511,,,,,,,,,0.14573548140175327,74.779922021561617,0.42400110960006709,104.07775616026326,0.59012314975261682,,,,,,,,,,,,,276.80583288189496,0.107264,628.26910351813399,0.149288,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.011792511497602173,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,65.055980794255163,0.32641442333341258,,,,,,,,,0.46702480647278199,0.00133064,77.818701819961532,0.22725609168410299,82.758770277824411,0.24168618619441984,,,,,,,,,,,,,821.36780937406843,0.0583472,799.31463241573272,0.0620512,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.017969178595311577,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,2.5620727198011015,,,,2.990000e+01,2.000000e+00,,,,False
6,20220111-Rb_K_m_20_11_01-0006,22.282997716541097,0.36963507436670201,,,,,,,,,0.14017290594300111,67.786475614650698,0.65667614340782166,104.75600709285942,1.0148153603076935,,,,,,,,,,,,,274.41081836633521,0.166842,633.68438117225685,0.257835,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.018590404787104036,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,65.256456511046366,0.42848103288115541,,,,,,,,,0.50679003211274376,0.00189238,72.934750887551189,0.27854264825582503,81.622830304685536,0.31172475218772888,,,,,,,,,,,,,819.22166817136781,0.0716688,804.0156468245608,0.0802061,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.024569738190067053,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,2.9285313107852291,,,,2.990000e+01,2.500000e+00,,,,False
7,20220111-Rb_K_m_20_11_01-0007,18.255051573996003,0.2150636614761525,,,,,,,,,0.12887035129027424,68.198595535729723,0.46851273924112319,92.782714176827525,0.63740804493427272,,,,,,,,,,,,,267.58289352743367,0.119591,631.62118450233925,0.162701,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.011494726914228181,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,65.308722785374982,0.33375591735824123,,,,,,,,,0.49309646737322577,0.00143233,74.475421339936645,0.22142255976796149,82.219922154403108,0.24445160925388335,,,,,,,,,,,,,816.5683553549942,0.0569299,803.37675591055654,0.0628499,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.018860684606246344,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,3.5775698863763332,,,,2.990000e+01,3.000000e+00,,,,False
8,20220111-Rb_K_m_20_11_01-0008,10.781299661304738,0.23695383754973146,,,,,,,,,0.070350344391903699,68.84376236969031,0.88318041861057273,99.438083281220898,1.2756700992584229,,,,,,,,,,,,,273.0382223590949,0.224741,649.3343106253526,0.324616,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.012150502292600365,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,68.385471965137569,0.3693697015759565,,,,,,,,,0.48766337901170137,0.00149554,78.147705482141035,0.24569007009267807,82.961807346609021,0.26083143800497055,,,,,,,,,,,,,819.16396227341488,0.0630684,809.26191603974178,0.0669536,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.020263593554567506,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,6.3429710808039683,,,,2.990000e+01,3.500000e+00,,,,False
9,20220111-Rb_K_m_20_11_01-0009,19.143890707805255,0.25615597837098808,,,,,,,,,0.10435659372244468,73.693903668338223,0.57713498175144196,111.19652130002339,0.87083408832550047,,,,,,,,,,,,,275.0623402443544,0.145609,658.06640695706744,0.21971,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.011935508996260833,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,72.677699845452608,0.32484790696842492,,,,,,,,,0.53827975781566428,0.00136705,76.096254720624387,0.19791070222854612,82.031485102532955,0.21334899440407751,,,,,,,,,,,,,821.59196424818663,0.0508576,817.46734784328919,0.0548243,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.018175060717257066,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,3.7963912850704276,,,,2.990000e+01,4.000000e+00,,,,False
10,20220111-Rb_K_m_20_11_01-0010,23.444258615172508,0.24740816284268125,,,,,,,,,0.13109241695493598,77.373373803446924,0.47768875360488888,103.24757270599966,0.63745255172252657,,,,,,,,,,,,,273.82191581907773,0.120687,637.23732630218171,0.161046,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.011686489256529523,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,63.194728732154289,0.28708621736484918,,,,,,,,,0.4685903429207553,0.00120957,78.014887561059396,0.20621992424130439,79.920973218146031,0.21126087009906769,,,,,,,,,,,,,822.77301907020274,0.0529947,813.85251054694322,0.0542894,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.016072017526152126,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,2.6955311221168805,,,,2.990000e+01,4.500000e+00,,,,False
